timestamp,status,metric
SYNCING_173s,有人,2.1477
SYNCING_174s,有人,2.1640
SYNCING_175s,有人,2.1652
SYNCING_177s,有人,2.2591
SYNCING_180s,有人,2.3222
SYNCING_181s,有人,2.3475
SYNCING_183s,有人,2.3979
SYNCING_186s,有人,2.3886
SYNCING_187s,有人,2.4838
SYNCING_188s,有人,2.4745
SYNCING_190s,有人,2.4947
SYNCING_193s,有人,2.5854
SYNCING_194s,有人,2.5767
SYNCING_196s,有人,2.5940
SYNCING_199s,有人,2.6087
SYNCING_200s,有人,2.7384
SYNCING_201s,有人,2.7763
SYNCING_203s,有人,2.7884
SYNCING_206s,有人,2.7945
SYNCING_206s,有人,2.8041
SYNCING_207s,有人,2.8560
SYNCING_209s,有人,2.7840
SYNCING_212s,有人,2.7918
SYNCING_213s,有人,2.8293
SYNCING_214s,有人,2.9249
SYNCING_216s,有人,2.9348
SYNCING_219s,有人,2.9540
SYNCING_219s,有人,2.9584
SYNCING_220s,有人,3.0417
SYNCING_222s,有人,3.0042
SYNCING_225s,有人,2.9929
SYNCING_226s,有人,2.8689
SYNCING_227s,有人,2.8650
SYNCING_229s,有人,2.8505
SYNCING_232s,有人,2.8498
SYNCING_232s,有人,2.8594
SYNCING_233s,有人,2.8519
SYNCING_235s,有人,2.9000
SYNCING_238s,有人,2.9179
SYNCING_239s,有人,2.9037
SYNCING_240s,有人,2.9079
SYNCING_242s,有人,2.9487
SYNCING_245s,有人,3.0309
SYNCING_245s,有人,3.0653
SYNCING_246s,有人,3.1195
SYNCING_248s,有人,3.1589
SYNCING_251s,有人,3.1436
SYNCING_252s,有人,3.1616
SYNCING_253s,有人,3.1429
SYNCING_255s,有人,3.1058
SYNCING_258s,有人,3.0802
SYNCING_258s,有人,3.0651
SYNCING_259s,有人,3.0526
SYNCING_261s,有人,3.0157
SYNCING_264s,有人,3.0415
SYNCING_265s,有人,3.0328
SYNCING_266s,有人,3.1011
SYNCING_268s,有人,3.1208
SYNCING_271s,有人,3.1641
SYNCING_271s,有人,3.0903
SYNCING_272s,有人,3.1264
SYNCING_274s,有人,3.1723
SYNCING_274s,有人,3.2312
SYNCING_277s,有人,3.2813
SYNCING_278s,有人,3.2958
SYNCING_279s,有人,3.2732
SYNCING_281s,有人,3.2780
SYNCING_284s,有人,3.2806
SYNCING_285s,有人,3.2749
SYNCING_287s,有人,3.3202
SYNCING_290s,有人,3.3623
SYNCING_291s,有人,3.3955
SYNCING_292s,有人,3.3343
SYNCING_294s,有人,3.3009
SYNCING_297s,有人,3.3121
SYNCING_297s,有人,3.2868
SYNCING_298s,有人,3.3268
SYNCING_300s,有人,3.4309
SYNCING_303s,有人,3.5234
SYNCING_304s,有人,3.6383
SYNCING_305s,有人,3.6778
SYNCING_307s,有人,3.6487
SYNCING_310s,有人,3.6980
SYNCING_310s,有人,3.7019
SYNCING_311s,有人,3.7347
SYNCING_313s,有人,3.6948
SYNCING_316s,有人,3.7255
SYNCING_317s,有人,3.7219
SYNCING_318s,有人,3.7712
SYNCING_320s,有人,3.7822
SYNCING_323s,有人,4.3439
SYNCING_324s,有人,4.4302
SYNCING_326s,有人,4.5270
SYNCING_329s,有人,4.6256
SYNCING_330s,有人,4.6863
SYNCING_331s,有人,4.7871
SYNCING_333s,有人,4.7615
SYNCING_336s,有人,4.8160
SYNCING_336s,有人,4.8560
SYNCING_337s,有人,4.8939
